id,vista, modulo, view_date, usuario
3618172,VALIDAR CAJA POST PROD,SUMA PRODUCCION,2025-08-29 06:00:33,SNAREVALO
3618171,PAQUETE A SUBAREA,SUMA PRODUCCION,2025-08-29 05:59:54,SNAREVALO
3618170,Tiquete de Corte,REPORTES,2025-08-29 05:59:37,BHERNANDEZ
3618169,Agregar rollo a carro,Rollos Tela,2025-08-29 05:59:17,MAMORAN
3618168,Aprobar/rechazar - BU,PLANEACIÓN,2025-08-29 05:58:43,RGCASTRO
3618167,Agregar rollo a carro,Rollos Tela,2025-08-29 05:57:20,MAMORAN
3618166,UBICACIÓN POR LOTE,SUMA PRODUCCION,2025-08-29 05:57:00,WALQUINTANA
3618165,Revisión tela (Touch),CALIDAD TELA,2025-08-29 05:56:08,JRODAS
3618164,Rollos en Bodega,Rollos Tela,2025-08-29 05:55:49,RGCASTRO
3618163,Paqueteo,COMA,2025-08-29 05:53:57,LECTORSUMA5
3618162,Imprimir sticker,COMA,2025-08-29 05:53:32,LECTORSUMA5
3618161,Paqueteo,COMA,2025-08-29 05:52:40,LECTORSUMA5
3618160,Rollos por lote,Rollos Tela,2025-08-29 05:52:35,RGCASTRO
3618159,Tiquete de Corte,REPORTES,2025-08-29 05:51:10,LIQUIDACIONCORTE
3618158,Aprobar/rechazar - BU,PLANEACIÓN,2025-08-29 05:50:20,RGCASTRO
3618157,Preparar Rollos,Rollos Tela,2025-08-29 05:50:04,RGCASTRO
3618156,Aprobar/rechazar - BU,PLANEACIÓN,2025-08-29 05:49:49,RGCASTRO
3618155,CAJA SECUENCIA,SUMA PRODUCCION,2025-08-29 05:49:47,SNAREVALO
3618154,Trazo,PRODUCCIÓN,2025-08-29 05:49:43,COMARTINEZ
3618153,Información Rollo,Rollos Tela,2025-08-29 05:49:12,CAMARTINEZ
3618152,UBICACIÓN POR LOTE,SUMA PRODUCCION,2025-08-29 05:48:58,JQUINTERO
3618151,Hoja de paqueteo,REPORTES,2025-08-29 05:48:51,RLOPEZ
3618150,MOVER ROLLOS A BODEGA,SUMA PRODUCCION,2025-08-29 05:48:42,JQUINTERO
3618149,Revisión tela (Touch),CALIDAD TELA,2025-08-29 05:46:35,JRODAS
3618148,Rollos A Devolver,SDP,2025-08-29 05:46:33,LIQUIDACIONCORTE
3618147,Liberar Calidad,CALIDAD TELA,2025-08-29 05:45:04,JRODAS
3618146,CAJA SECUENCIA,SUMA PRODUCCION,2025-08-29 05:45:03,SNAREVALO
3618145,UBICACIÓN POR LOTE,SUMA PRODUCCION,2025-08-29 05:44:46,JQUINTERO
3618144,INFO ROLLO,SUMA PRODUCCION,2025-08-29 05:44:28,CAMARTINEZ
3618143,Liberar Calidad,CALIDAD TELA,2025-08-29 05:44:21,JRODAS
3618142,Trazo,PRODUCCIÓN,2025-08-29 05:44:12,DRIVERA
3618141,Tendido Touch,SDP,2025-08-29 05:44:08,JORDOñEZ
3618140,MOVER ROLLOS A BODEGA,SUMA PRODUCCION,2025-08-29 05:43:57,JQUINTERO
3618139,UBICACIÓN POR LOTE,SUMA PRODUCCION,2025-08-29 05:43:53,JQUINTERO
3618138,Producción Tendido/Corte,REPORTES,2025-08-29 05:42:44,LIQUIDACIONCORTE
3618137,UBICACIÓN POR LOTE,SUMA PRODUCCION,2025-08-29 05:41:25,JQUINTERO
3618136,Tendido Touch,SDP,2025-08-29 05:41:12,LIQUIDACIONCORTE
3618135,Tiquete de Corte,REPORTES,2025-08-29 05:40:48,FCASTANEDA
3618134,Imprimir sticker,COMA,2025-08-29 05:40:25,JGALICIA
3618133,Hoja de paqueteo,REPORTES,2025-08-29 05:40:20,DMORENO
3618132,Tiquete de Corte,REPORTES,2025-08-29 05:40:10,NMORAN
3618131,Aprobar/rechazar - BU,PLANEACIÓN,2025-08-29 05:39:47,RGCASTRO
3618130,WIP Corte Calidad,CALIDAD TELA,2025-08-29 05:39:46,NMORAN
3618129,Preparar Rollos,Rollos Tela,2025-08-29 05:39:44,RGCASTRO
